field,index,value
SDPval,0,1.33931e+08
SDPval,1,4491.43
SDPval,2,3123.79
SDPval,3,3144.27
gradnorm,0,0.0572698
startingRank,0,2
endingRank,0,4
initialization_time,0,0.14
elapsed_optimization_times,0,3.541
elapsed_optimization_times,1,9.041
elapsed_optimization_times,2,7.635
elapsed_optimization_times,3,0.993
verification_times,0,0.064
verification_times,1,0.294
verification_times,2,0.031
FinalOptimizationTime,0,21.21
FinalTotalTime,0,21.908
