field,index,value
SDPval,0,1.1078e+08
SDPval,1,150257
SDPval,2,150257
SDPval,3,16070.6
SDPval,4,18204.6
gradnorm,0,0.159452
startingRank,0,2
endingRank,0,5
initialization_time,0,0.002
elapsed_optimization_times,0,0.167
elapsed_optimization_times,1,0.291
elapsed_optimization_times,2,0.001
elapsed_optimization_times,3,0.479
elapsed_optimization_times,4,0.027
verification_times,0,0.003
verification_times,1,0.008
verification_times,2,0.001
verification_times,3,0
FinalOptimizationTime,0,0.965
FinalTotalTime,0,0.991
