field,index,value
SDPval,0,3.7685e+08
SDPval,1,8704.41
SDPval,2,7032.89
SDPval,3,7039.88
gradnorm,0,0.128635
startingRank,0,2
endingRank,0,4
initialization_time,0,0.494
elapsed_optimization_times,0,9.755
elapsed_optimization_times,1,16.122
elapsed_optimization_times,2,17.635
elapsed_optimization_times,3,1.774
verification_times,0,0.17
verification_times,1,0.854
verification_times,2,0.095
FinalOptimizationTime,0,45.286
FinalTotalTime,0,47.43
