field,index,value
SDPval,0,9.6679e+07
SDPval,1,1893.34
SDPval,2,1280.26
SDPval,3,1332.79
gradnorm,0,0.00036837
startingRank,0,2
endingRank,0,4
initialization_time,0,0.091
elapsed_optimization_times,0,1.653
elapsed_optimization_times,1,5.515
elapsed_optimization_times,2,4.096
elapsed_optimization_times,3,0.396
verification_times,0,0.052
verification_times,1,0.179
verification_times,2,0.026
FinalOptimizationTime,0,11.66
FinalTotalTime,0,12.184
