field,index,value
SDPval,0,3.36568e+08
SDPval,1,5742.95
SDPval,2,4173.12
SDPval,3,4173.37
gradnorm,0,0.145689
startingRank,0,2
endingRank,0,4
initialization_time,0,0.389
elapsed_optimization_times,0,8.654
elapsed_optimization_times,1,13.394
elapsed_optimization_times,2,8.879
elapsed_optimization_times,3,0.877
verification_times,0,0.151
verification_times,1,0.683
verification_times,2,0.066
FinalOptimizationTime,0,31.804
FinalTotalTime,0,33.487
